ComplexRP,4,4.226217269897461,16.955633878707886
ComplexRP_Case1,4,3.7164098620414734,12.862020492553711
ComplexRP_Case2,4,3.6354135274887085,13.926748037338257
ComplexRP_Case3,4,3.3553245812654495,10.10693097114563
ComplexRP,10,5.185015990183904,81.21220684051514
minexml_test,4,4.656140255928039,4.898117303848267
minexml_obstacle,4,4.262818988631754,5.286976099014282
SimRig,4,3.878089427947998,2.449126958847046
SimRig_Obstacle,4,3.5386864571344283,1.2724404335021973
SimRig,10,3.111402850884658,13.212776184082031
